                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5721,                 1.9878,                  1.491,                0.47158,                0.49171,                0.45705,                0.23556,                 1.5722,                 2.2446,                 1.4074,               0.070526,              0.0032749,              0.0032749
                      1,                 1.3139,                 1.1961,                 1.2921,                0.47445,                0.55097,                0.50582,                0.27621,                 1.5391,                 1.6742,                 1.3538,               0.040508,              0.0065895,              0.0065895
                      2,                 1.3134,                 1.1816,                 1.2526,                0.54904,                0.51499,                0.52692,                0.29607,                 1.4833,                 1.5122,                 1.3038,                0.01047,              0.0098853,              0.0098853
                      3,                 1.3242,                 1.1057,                 1.2415,                0.53472,                0.45037,                0.47613,                0.26225,                 1.6423,                 1.5105,                 1.4063,              0.0099151,              0.0099151,              0.0099151
                      4,                 1.3245,                 1.1138,                 1.2295,                0.58934,                0.48434,                0.52483,                0.28083,                  1.599,                 1.3768,                 1.3821,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.3152,                 1.0879,                 1.2226,                0.61487,                 0.4946,                0.54767,                0.29863,                  1.594,                 1.3341,                 1.3467,              0.0098869,              0.0098869,              0.0098869
                      6,                 1.3102,                 1.0676,                 1.2204,                0.58105,                0.54231,                 0.5779,                0.31879,                 1.5486,                 1.2648,                  1.317,              0.0098586,              0.0098586,              0.0098586
                      7,                 1.2795,                 1.0477,                 1.2093,                0.53727,                0.52298,                0.54314,                0.30128,                   1.56,                 1.3467,                 1.3165,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.2712,                 1.0257,                  1.205,                0.53558,                 0.5455,                0.55093,                0.29694,                  1.611,                 1.3315,                 1.3342,               0.009802,               0.009802,               0.009802
                      9,                  1.261,                 1.0205,                 1.1965,                0.55121,                0.53431,                0.56057,                0.32205,                 1.5073,                 1.2999,                 1.2848,              0.0097737,              0.0097737,              0.0097737
                     10,                 1.2693,                 1.0177,                 1.1955,                0.58892,                0.51566,                0.54801,                0.29695,                 1.5614,                 1.3366,                  1.333,              0.0097454,              0.0097454,              0.0097454
                     11,                 1.2456,                0.98983,                 1.1906,                0.57115,                0.52565,                0.55717,                0.31219,                 1.5355,                 1.2947,                 1.3276,              0.0097171,              0.0097171,              0.0097171
                     12,                 1.2305,                0.96686,                 1.1818,                 0.6338,                0.54231,                0.59147,                0.32931,                 1.5792,                 1.2344,                  1.335,              0.0096889,              0.0096889,              0.0096889
                     13,                 1.2347,                0.97533,                 1.1781,                0.59095,                0.54564,                0.58291,                0.32738,                 1.5479,                 1.3043,                 1.3231,              0.0096606,              0.0096606,              0.0096606
                     14,                 1.2357,                0.95854,                 1.1792,                0.57064,                0.43387,                0.47462,                 0.2608,                 1.6571,                  1.472,                 1.4422,              0.0096323,              0.0096323,              0.0096323
                     15,                 1.2135,                0.95198,                  1.176,                0.56211,                 0.5443,                0.56682,                0.31057,                 1.5809,                  1.286,                 1.3428,               0.009604,               0.009604,               0.009604
                     16,                 1.2034,                0.94121,                 1.1646,                0.58374,                0.49034,                0.54691,                0.29165,                 1.6222,                 1.2876,                 1.3535,              0.0095757,              0.0095757,              0.0095757
                     17,                 1.1999,                0.93739,                 1.1673,                0.63313,                0.54497,                0.61604,                0.35443,                 1.5002,                 1.2017,                 1.2784,              0.0095474,              0.0095474,              0.0095474
                     18,                 1.1852,                0.90813,                 1.1543,                0.65465,                0.50389,                0.58872,                  0.336,                 1.5221,                 1.2699,                 1.2946,              0.0095191,              0.0095191,              0.0095191
                     19,                 1.1928,                0.91241,                 1.1504,                0.58998,                0.52565,                0.57552,                0.32738,                 1.5416,                 1.2433,                 1.3073,              0.0094909,              0.0094909,              0.0094909
                     20,                 1.1802,                0.90162,                 1.1471,                0.56194,                 0.5463,                 0.5465,                0.29889,                 1.5897,                  1.452,                 1.3529,              0.0094626,              0.0094626,              0.0094626
                     21,                 1.1825,                0.90801,                 1.1552,                0.62763,                0.57495,                  0.624,                0.35496,                  1.513,                  1.217,                 1.3201,              0.0094343,              0.0094343,              0.0094343
                     22,                 1.1661,                0.87916,                 1.1437,                0.61688,                0.55782,                0.61963,                0.35204,                 1.5031,                  1.194,                 1.3008,               0.009406,               0.009406,               0.009406
                     23,                 1.1705,                 0.8885,                 1.1482,                0.62784,                 0.5443,                0.60425,                0.34697,                 1.4601,                 1.1875,                 1.2637,              0.0093777,              0.0093777,              0.0093777
                     24,                 1.1674,                0.88383,                 1.1428,                0.59417,                0.54497,                0.59768,                0.33996,                 1.4821,                 1.2538,                 1.2701,              0.0093494,              0.0093494,              0.0093494
                     25,                 1.1524,                0.87266,                 1.1405,                0.59843,                  0.505,                0.56903,                0.32815,                 1.5053,                 1.2697,                 1.2932,              0.0093211,              0.0093211,              0.0093211
                     26,                 1.1441,                0.86764,                 1.1325,                0.60184,                0.51359,                0.57165,                0.32577,                 1.5425,                 1.2666,                  1.321,              0.0092929,              0.0092929,              0.0092929
                     27,                 1.1343,                0.86686,                 1.1354,                0.64692,                0.55296,                0.61986,                0.34774,                 1.5122,                 1.1676,                 1.3115,              0.0092646,              0.0092646,              0.0092646
                     28,                   1.14,                0.85025,                 1.1258,                0.62064,                0.58161,                0.62208,                0.35572,                 1.4954,                  1.161,                 1.2874,              0.0092363,              0.0092363,              0.0092363
                     29,                 1.1392,                0.85274,                 1.1291,                0.65144,                0.55409,                0.62003,                0.35112,                 1.5022,                 1.1655,                 1.2995,               0.009208,               0.009208,               0.009208
                     30,                 1.1278,                  0.853,                 1.1219,                0.64705,                0.56362,                0.62214,                0.35364,                 1.5167,                 1.1638,                 1.3034,              0.0091797,              0.0091797,              0.0091797
                     31,                 1.1231,                0.83967,                  1.121,                0.66277,                0.55296,                0.62111,                0.35388,                  1.488,                 1.1876,                 1.2959,              0.0091514,              0.0091514,              0.0091514
                     32,                 1.1188,                0.83193,                 1.1248,                0.60978,                0.53564,                0.58504,                 0.3364,                 1.5103,                 1.2425,                 1.2955,              0.0091231,              0.0091231,              0.0091231
                     33,                 1.1235,                0.83201,                 1.1267,                0.62338,                0.57162,                0.61719,                0.34545,                 1.4971,                 1.2096,                 1.3037,              0.0090949,              0.0090949,              0.0090949
                     34,                 1.1207,                0.83259,                 1.1189,                0.64934,                0.54776,                0.61754,                0.35553,                  1.467,                 1.1886,                 1.2781,              0.0090666,              0.0090666,              0.0090666
                     35,                 1.1064,                0.81975,                 1.1117,                0.61113,                0.58161,                0.62283,                0.36023,                 1.4754,                 1.1542,                  1.293,              0.0090383,              0.0090383,              0.0090383
                     36,                 1.0982,                0.80611,                  1.101,                0.64797,                 0.5543,                0.61801,                0.34879,                 1.5213,                  1.188,                 1.3065,                0.00901,                0.00901,                0.00901
                     37,                 1.1114,                0.82823,                 1.1146,                0.63598,                0.57695,                0.62922,                0.35762,                 1.4805,                 1.1451,                 1.2801,              0.0089817,              0.0089817,              0.0089817
                     38,                 1.1012,                0.81069,                 1.1056,                0.64123,                0.56362,                0.62239,                0.35231,                 1.5292,                 1.1568,                 1.3171,              0.0089534,              0.0089534,              0.0089534
                     39,                 1.0801,                 0.8091,                 1.0995,                0.65414,                 0.5443,                0.60855,                 0.3472,                 1.4982,                  1.197,                 1.2979,              0.0089251,              0.0089251,              0.0089251
                     40,                 1.0921,                0.79909,                 1.1036,                0.62332,                0.56163,                0.61201,                0.35365,                 1.4708,                 1.1898,                 1.2784,              0.0088969,              0.0088969,              0.0088969
                     41,                 1.0925,                0.79681,                 1.1052,                0.64176,                0.57646,                0.63556,                0.37029,                 1.4819,                  1.136,                  1.281,              0.0088686,              0.0088686,              0.0088686
                     42,                 1.0847,                0.79379,                 1.1069,                0.62504,                0.56082,                0.61829,                0.36316,                 1.4749,                 1.1595,                 1.2828,              0.0088403,              0.0088403,              0.0088403
                     43,                 1.0758,                0.79068,                 1.1008,                0.60125,                0.60826,                0.62248,                0.36146,                 1.4783,                 1.1649,                 1.3036,               0.008812,               0.008812,               0.008812
