                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.878,                 1.8604,                 1.6514,                0.51597,                0.53022,                0.49281,                0.24478,                 1.7434,                  1.596,                 1.4337,               0.070224,              0.0033085,              0.0033085
                      1,                 1.6903,                  1.322,                 1.4502,                0.53372,                 0.5295,                0.53216,                0.27534,                 1.6434,                 1.5049,                 1.3618,               0.040205,               0.006623,               0.006623
                      2,                 1.6893,                 1.3103,                 1.4233,                0.52357,                0.45683,                0.47877,                0.24534,                 1.7642,                  1.473,                 1.4759,               0.010167,              0.0099187,              0.0099187
                      3,                 1.6949,                 1.3138,                 1.4154,                0.58204,                0.57908,                0.57349,                0.29041,                 1.6833,                 1.4703,                 1.3563,              0.0099151,              0.0099151,              0.0099151
                      4,                 1.6961,                 1.2884,                 1.4043,                  0.575,                    0.5,                0.54309,                0.29121,                  1.655,                  1.405,                 1.4018,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.6913,                 1.2736,                 1.4031,                0.57616,                0.55939,                0.56697,                 0.2853,                 1.7466,                  1.387,                 1.4065,              0.0098869,              0.0098869,              0.0098869
                      6,                 1.6584,                  1.244,                 1.3745,                0.62225,                0.55396,                0.58693,                0.30553,                 1.6686,                 1.3116,                 1.3735,              0.0098586,              0.0098586,              0.0098586
                      7,                 1.6396,                 1.2262,                 1.3756,                0.58237,                0.55276,                0.57248,                0.29695,                  1.726,                 1.3582,                 1.3845,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.6345,                 1.2191,                 1.3703,                0.62833,                0.55036,                0.60034,                0.31699,                 1.6445,                 1.2846,                 1.3428,               0.009802,               0.009802,               0.009802
                      9,                 1.6144,                 1.1918,                 1.3557,                0.65595,                0.53525,                0.60474,                0.32737,                 1.6098,                 1.2756,                 1.3499,              0.0097737,              0.0097737,              0.0097737
                     10,                 1.6067,                 1.1815,                 1.3534,                0.57161,                 0.5798,                0.59395,                0.30524,                 1.6744,                 1.2799,                 1.3586,              0.0097454,              0.0097454,              0.0097454
                     11,                 1.5785,                 1.1542,                 1.3323,                0.66765,                0.55498,                0.63394,                0.34584,                 1.5927,                 1.2226,                 1.3299,              0.0097171,              0.0097171,              0.0097171
                     12,                 1.5854,                 1.1437,                 1.3343,                0.64643,                0.57611,                0.62749,                0.33579,                 1.6346,                 1.2221,                 1.3635,              0.0096889,              0.0096889,              0.0096889
                     13,                 1.5504,                 1.1409,                 1.3229,                0.62806,                0.58273,                0.62915,                0.34906,                  1.579,                 1.2217,                 1.3393,              0.0096606,              0.0096606,              0.0096606
                     14,                 1.5455,                 1.1252,                 1.3196,                0.68447,                0.56691,                0.64528,                0.34735,                 1.6029,                    1.2,                  1.311,              0.0096323,              0.0096323,              0.0096323
                     15,                 1.5358,                 1.1158,                   1.32,                0.67163,                0.56835,                0.63863,                0.35156,                 1.5932,                 1.1942,                 1.3231,               0.009604,               0.009604,               0.009604
                     16,                 1.5395,                 1.1096,                 1.3078,                0.67766,                0.59928,                0.66517,                0.36856,                 1.5537,                 1.2024,                 1.3043,              0.0095757,              0.0095757,              0.0095757
