                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6134,                 1.7469,                 1.4952,                0.55332,                0.54046,                0.54183,                 0.2906,                 1.5803,                 1.3138,                 1.3905,               0.070181,              0.0033133,              0.0033133
                      1,                 1.4178,                 1.2277,                  1.317,                0.59788,                0.53636,                0.57802,                0.30753,                 1.5759,                 1.2903,                 1.3361,               0.040162,              0.0066278,              0.0066278
                      2,                 1.4123,                 1.1849,                 1.2818,                0.62414,                0.53227,                0.59042,                0.31706,                 1.5944,                 1.2477,                 1.3299,               0.010124,              0.0099235,              0.0099235
                      3,                 1.4339,                 1.1945,                 1.2768,                0.55562,                0.50332,                0.51708,                0.25655,                 1.7254,                 1.5362,                 1.3948,              0.0099151,              0.0099151,              0.0099151
                      4,                 1.4223,                  1.158,                 1.2682,                 0.6028,                0.55032,                0.59658,                0.32046,                 1.5758,                 1.2941,                 1.3135,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.4015,                 1.1322,                 1.2548,                0.64094,                0.56021,                0.60213,                0.32416,                 1.6262,                 1.2551,                  1.348,              0.0098869,              0.0098869,              0.0098869
                      6,                 1.3813,                 1.1091,                 1.2485,                0.65653,                0.54857,                0.61934,                0.33814,                 1.5675,                 1.2354,                 1.3065,              0.0098586,              0.0098586,              0.0098586
                      7,                 1.3587,                 1.0797,                  1.235,                0.62457,                0.53752,                0.59381,                0.31405,                 1.6319,                 1.2958,                 1.3216,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.3472,                 1.0755,                 1.2294,                0.60736,                0.55032,                0.59555,                0.32763,                 1.6157,                 1.2785,                 1.3482,               0.009802,               0.009802,               0.009802
                      9,                 1.3329,                 1.0404,                 1.2189,                0.65596,                0.56952,                0.62865,                0.34779,                 1.5949,                 1.1946,                 1.3266,              0.0097737,              0.0097737,              0.0097737
                     10,                 1.3207,                 1.0329,                 1.2178,                0.69043,                 0.5509,                 0.6456,                0.35338,                 1.5757,                 1.2926,                 1.3465,              0.0097454,              0.0097454,              0.0097454
                     11,                 1.3168,                 1.0176,                 1.2104,                0.65269,                 0.5488,                0.62608,                0.34699,                 1.5995,                 1.2408,                  1.312,              0.0097171,              0.0097171,              0.0097171
                     12,                  1.285,                0.99778,                 1.1968,                0.71249,                0.57592,                0.66629,                0.37474,                 1.5328,                 1.1385,                 1.2984,              0.0096889,              0.0096889,              0.0096889
                     13,                 1.2824,                0.98796,                  1.193,                0.67038,                0.63176,                0.67562,                 0.3819,                  1.517,                 1.1135,                 1.3219,              0.0096606,              0.0096606,              0.0096606
                     14,                 1.2816,                0.97641,                 1.1931,                0.65648,                 0.6059,                 0.6499,                0.37257,                 1.5243,                 1.1635,                 1.3029,              0.0096323,              0.0096323,              0.0096323
                     15,                  1.264,                0.95278,                  1.181,                0.68076,                0.58675,                0.66274,                0.38221,                 1.4974,                 1.1778,                 1.2862,               0.009604,               0.009604,               0.009604
                     16,                 1.2621,                0.94992,                 1.1791,                0.70542,                 0.5637,                0.65138,                0.37072,                 1.5673,                 1.1448,                 1.3216,              0.0095757,              0.0095757,              0.0095757
                     17,                 1.2515,                0.93511,                 1.1724,                0.67915,                0.60966,                0.68351,                0.39147,                 1.5354,                 1.1505,                 1.2986,              0.0095474,              0.0095474,              0.0095474
                     18,                 1.2441,                0.93427,                 1.1682,                0.67509,                0.62611,                 0.6865,                0.39986,                 1.4966,                 1.1142,                 1.2863,              0.0095191,              0.0095191,              0.0095191
                     19,                  1.237,                0.92366,                 1.1659,                0.69309,                0.61352,                0.68086,                0.38829,                 1.5076,                 1.1165,                 1.3054,              0.0094909,              0.0094909,              0.0094909
                     20,                 1.2235,                0.90129,                 1.1587,                0.68452,                0.60587,                0.68277,                0.39222,                  1.529,                 1.1268,                 1.2828,              0.0094626,              0.0094626,              0.0094626
                     21,                  1.213,                0.89825,                 1.1533,                0.69465,                0.59422,                0.66728,                0.38019,                 1.5318,                 1.1188,                 1.3073,              0.0094343,              0.0094343,              0.0094343
                     22,                  1.201,                0.89125,                 1.1521,                0.71912,                0.57882,                0.67348,                  0.393,                  1.516,                 1.1077,                 1.2931,               0.009406,               0.009406,               0.009406
                     23,                 1.1961,                0.88003,                 1.1513,                0.69244,                0.62472,                0.68609,                0.39911,                 1.5076,                 1.1046,                 1.2988,              0.0093777,              0.0093777,              0.0093777
