                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3234,                 1.6006,                 1.3414,                0.50558,                0.50966,                0.51644,                0.28718,                 1.2961,                 1.3419,                 1.3348,               0.070286,              0.0033016,              0.0033016
                      1,                 1.2164,                 1.0516,                 1.2301,                0.47678,                0.47368,                0.46492,                0.26533,                 1.3737,                 1.4458,                 1.3805,               0.040267,              0.0066162,              0.0066162
                      2,                 1.2641,                 1.0682,                 1.2268,                0.49378,                0.51432,                0.47834,                0.26501,                 1.3964,                 1.8718,                 1.3798,               0.010229,              0.0099119,              0.0099119
                      3,                 1.3668,                  1.197,                 1.2951,                0.45931,                0.43837,                 0.4249,                0.22151,                  1.549,                 1.6119,                 1.4662,              0.0099151,              0.0099151,              0.0099151
                      4,                 1.3926,                 1.1817,                 1.3015,                0.48119,                0.38619,                0.39054,                0.19879,                 1.5969,                 1.7247,                 1.5311,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.4229,                 1.1672,                 1.3198,                 0.4948,                0.42638,                0.43325,                0.21978,                   1.56,                 1.7056,                 1.4939,              0.0098869,              0.0098869,              0.0098869
                      6,                 1.4167,                  1.134,                  1.302,                0.44221,                0.42172,                0.37662,                0.19094,                 1.6283,                 2.1678,                 1.5442,              0.0098586,              0.0098586,              0.0098586
                      7,                 1.3874,                 1.1194,                 1.3001,                0.51296,                0.50029,                  0.491,                0.26214,                 1.4282,                  1.421,                 1.4026,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.3929,                 1.1067,                 1.3082,                0.54154,                0.48767,                0.50705,                0.27486,                 1.4973,                 1.3257,                 1.4757,               0.009802,               0.009802,               0.009802
                      9,                  1.376,                 1.0915,                 1.2992,                0.46545,                0.41639,                0.41232,                0.22803,                 1.5241,                 1.5985,                 1.5074,              0.0097737,              0.0097737,              0.0097737
                     10,                 1.3709,                 1.0979,                 1.3034,                0.52644,                0.43971,                0.45004,                0.23579,                 1.5319,                 1.5284,                 1.4538,              0.0097454,              0.0097454,              0.0097454
                     11,                 1.3685,                   1.08,                 1.2857,                0.52093,                0.43371,                0.47689,                0.26278,                 1.4697,                 1.5979,                 1.4287,              0.0097171,              0.0097171,              0.0097171
                     12,                 1.3435,                 1.0551,                 1.2866,                0.55481,                0.56496,                0.57222,                0.31212,                 1.4047,                 1.2419,                 1.3763,              0.0096889,              0.0096889,              0.0096889
                     13,                 1.3441,                 1.0503,                 1.2793,                0.53265,                0.51861,                0.51399,                0.28351,                 1.4547,                 1.2912,                 1.4366,              0.0096606,              0.0096606,              0.0096606
                     14,                 1.3362,                  1.021,                 1.2612,                0.56543,                0.49322,                0.52556,                0.29601,                 1.4151,                 1.3544,                  1.401,              0.0096323,              0.0096323,              0.0096323
                     15,                 1.3104,                 1.0232,                 1.2631,                0.59124,                0.51099,                0.55285,                0.31164,                 1.3832,                 1.3063,                 1.3578,               0.009604,               0.009604,               0.009604
                     16,                  1.331,                 1.0218,                 1.2634,                0.55717,                0.49367,                0.51065,                0.28644,                 1.4135,                 1.3149,                 1.3925,              0.0095757,              0.0095757,              0.0095757
                     17,                 1.3131,                 1.0137,                 1.2633,                0.61509,                0.48035,                0.55291,                0.30669,                 1.4133,                 1.1691,                 1.4067,              0.0095474,              0.0095474,              0.0095474
                     18,                 1.2988,                0.99286,                 1.2552,                0.58352,                0.54763,                0.57009,                0.32049,                 1.3634,                 1.1967,                  1.378,              0.0095191,              0.0095191,              0.0095191
                     19,                 1.2646,                0.97222,                 1.2467,                0.53079,                0.52898,                0.54432,                0.31426,                 1.3463,                 1.2584,                 1.3675,              0.0094909,              0.0094909,              0.0094909
                     20,                 1.2846,                  0.991,                 1.2641,                0.60807,                0.48374,                0.53885,                0.30816,                 1.3676,                  1.319,                 1.3482,              0.0094626,              0.0094626,              0.0094626
                     21,                 1.2913,                0.95766,                 1.2393,                0.60431,                0.51077,                 0.5508,                0.31248,                 1.3632,                  1.312,                 1.3905,              0.0094343,              0.0094343,              0.0094343
