                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.692,                 1.6357,                 1.5229,                0.51675,                 0.5108,                0.51118,                 0.2791,                 1.4835,                 1.4345,                 1.3589,               0.070175,              0.0033138,              0.0033138
                      1,                 1.5635,                 1.1708,                 1.3596,                0.57546,                0.51099,                0.54413,                0.29493,                 1.5367,                 1.3017,                 1.3626,               0.040157,              0.0066284,              0.0066284
                      2,                 1.6171,                 1.2198,                 1.3772,                0.54744,                0.46169,                0.51146,                0.27069,                  1.579,                 1.4224,                 1.3994,               0.010119,               0.009924,               0.009924
                      3,                 1.6574,                 1.2318,                 1.3871,                0.50642,                0.48101,                0.46802,                0.24109,                 1.6287,                 1.5029,                 1.3727,              0.0099151,              0.0099151,              0.0099151
                      4,                 1.6709,                 1.2316,                 1.3988,                0.52683,                0.47994,                0.49559,                0.25979,                 1.6449,                 1.4238,                   1.42,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.6451,                 1.2202,                 1.3942,                0.56488,                0.51721,                0.53784,                 0.2802,                 1.5852,                 1.3463,                 1.3862,              0.0098869,              0.0098869,              0.0098869
                      6,                 1.6478,                 1.1876,                 1.3772,                  0.548,                0.50644,                0.51979,                0.28353,                 1.5386,                 1.3963,                 1.3724,              0.0098586,              0.0098586,              0.0098586
                      7,                 1.6448,                 1.1883,                 1.3817,                0.57536,                  0.499,                0.54237,                0.29972,                 1.5609,                  1.341,                 1.3893,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.6078,                 1.1664,                 1.3714,                0.58952,                0.53868,                0.56826,                 0.3164,                 1.5567,                 1.2905,                 1.3701,               0.009802,               0.009802,               0.009802
                      9,                  1.603,                 1.1513,                 1.3671,                0.56684,                0.49955,                  0.536,                0.29002,                  1.602,                 1.3167,                 1.3892,              0.0097737,              0.0097737,              0.0097737
